Date,sentiment_mean,sentiment_count,sentiment_mean_author,sentiment_mean_engagement
2023-03-30,-0.005908680970203799,2610,-0.004861293519431967,-0.005897788357123257
2023-03-31,-0.006418248786528384,2615,-0.006329162901565162,-0.006414171585210169
2023-04-06,-0.010236575948710155,2648,-0.0090889538373371,-0.010229175410774421
2023-04-07,-0.013629459982634255,2596,-0.012357191402148438,-0.013623445103935442
2023-04-10,-0.02067361382247577,2614,-0.020077080937749726,-0.02067629299010671
2023-04-11,-0.013190102214204236,2634,-0.01273586712788987,-0.013192606767072597
2023-04-12,-0.012699626066899923,2653,-0.011122754490772303,-0.01269433094211435
2023-04-13,-0.018675516007696333,2592,-0.018695376663716613,-0.01867561508222687
2023-04-14,-0.004526329924492531,2573,-0.0049942011528445835,-0.004538546398034758
2023-04-17,-0.012386980252428582,2629,-0.01139177411939928,-0.012366921486938022
2023-04-18,-0.012944291486742806,2627,-0.012542639519043323,-0.012944206413743132
2023-04-19,-0.02109495917459476,2598,-0.019952017022407172,-0.021075595267663318
2023-04-20,-0.023098957769615208,2577,-0.022096983553351875,-0.023101733257388065
2023-04-21,-0.021765874249070095,2569,-0.021467880178989873,-0.021789785043558937
2023-04-24,-0.023046140261211434,2623,-0.021089855787647507,-0.023043033402571685
2023-04-25,-0.02193278897718573,2650,-0.021854210949784462,-0.021937361820075326
2023-04-26,-0.025257832684667914,2624,-0.023088198158854416,-0.025265317230918235
2023-04-27,-0.02149979378039903,2641,-0.021372788407209194,-0.021497660373770745
2023-04-28,-0.010491576552284455,2642,-0.009617665408189563,-0.010484737681269226
2023-05-02,-0.009120171832402765,2660,-0.008054336798206416,-0.009117978755591338
2023-05-03,-0.009909100210401171,2647,-0.007794458776248833,-0.009907302403850427
2023-05-04,-0.003269315994205362,2673,-0.002719795333540616,-0.0032689548090540687
2023-05-05,-0.005507521989067196,2639,-0.004572793719930912,-0.005523695391004136
2023-05-08,-0.023480334491708905,2629,-0.02301198622532592,-0.02348384770415952
2023-05-09,-0.017444612210668273,2583,-0.017014081723535506,-0.017450153374242987
